"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CASP31",7.46067144751946e-07,0.579959177409864,0.186,0.145,0.0145348801140574,"3","CASP3",0.041
"FAM53B1",7.56597734959176e-07,0.590638812243536,0.122,0.086,0.0147400370724747,"3","FAM53B",0.036
"RECQL1",7.61743626075549e-07,0.452639122736612,0.273,0.227,0.0148402893232038,"3","RECQL",0.046
"RGS1",7.65984912783628e-07,0.356058123610101,0.451,0.42,0.0149229180708506,"3","RGS1",0.031
"TMC5",7.66926879563697e-07,1.34277570339097,0.021,0.008,0.0149412694676599,"3","TMC5",0.013
"TK1",8.07190686711959e-07,1.06011249080824,0.028,0.013,0.0157256889585224,"3","TK1",0.015
"AL035701.1",8.13254157295882e-07,2.14387163497689,0.01,0.003,0.0158438174924384,"3","AL035701.1",0.007
"RXRA",8.57496103253338e-07,0.996083368510265,0.056,0.033,0.0167057390835815,"3","RXRA",0.023
"TST",8.57497472736265e-07,1.55617934150016,0.015,0.005,0.0167057657638479,"3","TST",0.01
"FMNL1",8.90051126725577e-07,0.347258173540864,0.382,0.336,0.0173399760508677,"3","FMNL1",0.046
"RAB8A1",9.16092024659501e-07,0.473562310926324,0.232,0.188,0.0178473048244164,"3","RAB8A",0.044
"MAPK11",9.64312085326015e-07,0.367502789293346,0.294,0.245,0.0187867280463214,"3","MAPK1",0.049
"COL12A1",9.90234930743064e-07,1.44231137694188,0.017,0.006,0.0192917569207364,"3","COL12A1",0.011
"CAPZA12",1.03519268802705e-06,0.275592616678461,0.472,0.433,0.0201676239481429,"3","CAPZA1",0.039
"ATP5MG1",1.04993647665021e-06,0.169748206838092,0.757,0.733,0.0204548624380995,"3","ATP5MG",0.024
"S100A14",1.05615605460019e-06,1.50942557280042,0.016,0.006,0.0205760322557209,"3","S100A14",0.01
"PARP141",1.06526223323165e-06,0.359591872955702,0.334,0.287,0.0207534388278189,"3","PARP14",0.047
"SKAP21",1.08160596541634e-06,0.468246561966222,0.173,0.132,0.0210718474182412,"3","SKAP2",0.041
"SCPEP1",1.24715180723294e-06,0.890979654102008,0.057,0.034,0.0242970115085122,"3","SCPEP1",0.023
"MYCBP",1.52991294238857e-06,0.81033224971924,0.062,0.038,0.0298057639436141,"3","MYCBP",0.024
"CD2BP2",1.54808720442745e-06,0.551157899809322,0.152,0.114,0.0301598349166556,"3","CD2BP2",0.038
"CHST11",1.59699300474038e-06,0.534220702206169,0.168,0.129,0.031112617718352,"3","CHST11",0.039
"GCH1",1.62233264041608e-06,0.575841233389632,0.131,0.096,0.031606284500586,"3","GCH1",0.035
"SAMD9L1",1.62340947826086e-06,0.368837999977166,0.278,0.23,0.0316272634554781,"3","SAMD9L",0.048
"CFLAR1",1.62382556944694e-06,0.269304648486773,0.519,0.476,0.0316353697439654,"3","CFLAR",0.043
